shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,model_group,sig_shark,sig_hake,sig_cpue
goa_pacific_sleeper_shark_2y_avg_backward,wgoa_clim_1985_t2,2,linear,0.2,log1p_z,24,103.1688670142388,111.41524382667441,0.8361131241851361,0.2963670659892054,-0.37201497826753915,1.4367408691096095e-4,0.7559869619790358,1.0681766867937093e-4,-0.33168495701189143,0.024309201302458616,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,enso_dj,2,logistic,0.2,z_roll2,24,103.16898221477388,111.41535902720949,0.8052813736645374,0.3291691540435338,-0.37201497826753904,1.4367408693094497e-4,0.7348163459306806,1.486110587451961e-4,-0.38366349144168327,0.024311158244351816,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,wgoa_clim_1985_t2,2,logistic,0.4,log1p_z,24,103.17185624585383,111.41823305828945,0.8360753764458584,0.29638728843505036,-0.37201497826753915,1.436740868723252e-4,0.7560873272619749,1.0678019053478316e-4,-0.3318458056706689,0.024360030090643248,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.4,z,24,103.2019145532679,111.44829136570351,0.8008190197186074,0.33359015443501444,-0.37201497826753915,1.4367408690052486e-4,0.733325057917152,1.5401502539513778e-4,-0.3358811160063336,0.024876953796659107,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,linear,0.2,z,24,103.22509830032345,111.47147511275907,0.8006482084963829,0.3335885563565691,-0.37201497826753915,1.4367408689563987e-4,0.733502528778577,1.5478169798499586e-4,-0.33406879386062444,0.025282969778645192,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1970_t1,2,logistic,0.2,log1p_z,24,103.22698500658191,111.47336181901753,0.8467280606344066,0.28442134929841,-0.37201497826753915,1.4367408687698813e-4,0.7447785034487087,1.293476928392323e-4,-0.30822592086213446,0.025316295488455598,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,egoa_clim_1985_t2,2,linear,0.8,log1p_z,24,103.24049741701262,111.48687422944823,0.8737523799902223,0.2540290755081016,-0.37201497826753915,1.436740869167341e-4,0.6816827769087082,3.971464449208373e-4,-0.340503890746151,0.025556230938008184,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,enso_dj,2,linear,0.6,z_roll2,24,103.25337116896415,111.49974798139976,0.8100734672118871,0.3234939688001775,-0.37201497826753915,1.4367408683235716e-4,0.7372390142046036,1.4708786380279726e-4,-0.3513829708072328,0.02578689599598194,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.2,z_roll2,24,103.26061912560445,111.50699593804006,0.7463650738641519,0.38939553965523177,-0.37201497826753915,1.436740868370201e-4,0.7109485304713394,2.3060508693650839e-4,-0.3434636000945802,0.025917656611152085,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.4,z_roll2,24,103.2643740970376,111.51075090947322,0.7501681051002563,0.38545054787442723,-0.3720149782675386,1.4367408691451367e-4,0.713671900853064,2.199414595358551e-4,-0.34296794842453626,0.025985655260463147,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_wgoa_coastwatch_junjulaug,2,logistic,0.4,log1p_z,24,103.26852033954958,111.5148971519852,0.8403480356280248,0.2910981953299878,-0.37201497826753915,1.436740869649178e-4,0.7373333190835325,1.476367255490718e-4,-0.3005822461683512,0.02606094238496448,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t1,2,logistic,0.2,log1p_z,24,103.28962153198992,111.53599834442554,0.8465759825728346,0.28417217520197807,-0.37201497826753893,1.436740869495967e-4,0.7439426020759221,1.3400636718996495e-4,-0.30531480830884117,0.02644741860917388,long,TRUE,TRUE,TRUE
