"ncc_predator","ak_predator","model_type","active_ncc_ints","active_ak_ints","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
"x08_large_gulls_7_ws","x11_ssl_seak_pup_pred","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",125.67134090256,139.807986866735,0.683679813082114,0.0105374390469,0.0854567333279244,0.699256909057999
"x08_large_gulls_7_ws","x11_ssl_seak_pup_pred","Pruned","None","ak_int_1, ak_int_2",121.049432151607,131.651916624739,0.717155134135916,0.00638549294717139,0.0385834158617815,0.689399938788172
"x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",120.53859202473,133.631101465029,0.496388911018666,0.000283707693292001,0.424244790752774,0.542642271846944
"x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead","Pruned","None","ak_int_2",115.688269178603,124.416608805469,0.717538303066312,0.0104699270520642,0.345324809359585,0.516747867293966
"x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",122.331379318685,134.332846305627,0.619125456044392,0.0106828394323412,0.424244790752774,0.43900980606177
"x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws","Pruned","None","None",126.83281684175,135.079193654185,0.754012649040196,0.0184628517634383,0.363922419321754,0.362970709840142
"x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",111.238151258397,123.239618245339,0.741794563944993,0.014389291701187,0.424244790752774,0.644862829381313
"x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws","Pruned","None","ak_int_1",109.733714058372,118.462053685238,0.712331179383474,0.00309687895809985,0.345324809359585,0.606309382274787
"x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",119.643591612527,131.645058599469,0.696350628933413,0.0225749292702252,0.424244790752774,0.50350216857633
"x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws","Pruned","None","None",126.115146454029,134.361523266465,0.832282239014089,0.0539093262388011,0.363922419321754,0.375577016254498
"x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",124.386143159026,138.522789123201,0.777513185645338,0.0448273585132319,0.437241080491235,0.563404727540586
"x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak","Pruned","None","ak_int_1, ak_int_2, ak_int_3",123.325404164899,135.105942468379,0.802809039893953,0.049360890223526,0.363922419321754,0.557429211018463
"x09_dfa_hakeage5plus","x15_sablefishbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",113.217957583954,127.354603548129,1,0.562787302759072,0.437241080491235,0.741000354689037
"x09_dfa_hakeage5plus","x15_sablefishbiomass_predak","Pruned","None","ak_int_1",114.43243732851,123.856867971293,0.960327210563714,0.22974737019663,0.363922419321754,0.654133928512876
"x09_dfa_hakeage5plus","x15_sablefishrecruitment_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",124.946573666489,139.083219630664,0.75690971118446,0.0347080120705338,0.437241080491235,0.604233710322111
"x09_dfa_hakeage5plus","x15_sablefishrecruitment_predak","Pruned","None","ak_int_2, ak_int_3",123.57578930317,134.178273776301,0.767731718850345,0.0250376371604335,0.363922419321754,0.563234112405797
"x09_dfa_hakeage5plus","x15_pacificcodbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",125.926310739019,140.062956703194,0.706061251342978,0.0167936714977965,0.437241080491236,0.520765783529345
"x09_dfa_hakeage5plus","x15_pacificcodbiomass_predak","Pruned","None","ak_int_1, ak_int_2",122.989146623909,133.59163109704,0.706272907237624,0.00711038667451536,0.363922419321754,0.540804562943111
"x09_dfa_hakeage5plus","x15_spinydogfishgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",126.485881204681,140.622527168856,0.663018571530461,0.00806235259539667,0.437241080491235,0.568687933132306
"x09_dfa_hakeage5plus","x15_spinydogfishgoa_predak","Pruned","None","ak_int_1, ak_int_2",123.433733181924,134.036217655056,0.711800845833796,0.00863972925275491,0.363922419321754,0.560292866386351
"x09_dfa_hakeage5plus","x15_halibutbiomassage8plus_2yrlead_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",122.061211660969,135.019803794797,0.796473668674616,0.0441844975178766,0.437241080491235,0.597748763708864
"x09_dfa_hakeage5plus","x15_halibutbiomassage8plus_2yrlead_predak","Pruned","None","ak_int_1, ak_int_2",121.000472666843,131.602957139974,0.783203392041094,0.0239404649076517,0.363922419321753,0.599922872038949
"x09_dfa_hakeage5plus","x15_dfa_sleepersharks","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",110.454706261601,123.413298395428,1,0.425335114111474,0.437241080491235,0.757340236028254
"x09_dfa_hakeage5plus","x15_dfa_sleepersharks","Pruned","None","ak_int_1, ak_int_2",109.393967267475,119.996451740606,0.971394386066587,0.27593966364727,0.363922419321754,0.759088255841521
"x09_dfa_hakeage5plus","x15_salmonsharkgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",132.731524421818,145.690116555645,0.726614450913771,0.057927339978272,0.437241080491235,0.332737718915707
"x09_dfa_hakeage5plus","x15_salmonsharkgoa_predak","Pruned","None","None",127.944566982442,136.190943794878,0.760236916037618,0.0243043595476399,0.363922419321754,0.326131639879744
"x09_dfa_hakeage5plus","x11_ssl_seak_pup_pred","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",114.017578125976,128.154224090152,0.789138030503814,0.0197140659232559,0.437241080491235,0.72147920243178
"x09_dfa_hakeage5plus","x11_ssl_seak_pup_pred","Pruned","None","ak_int_1, ak_int_2",111.135337738821,121.737822211952,0.864832994050762,0.0470894601670704,0.363922419321754,0.724533440664838
"x11_dfa_harbour_p_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",125.616513102829,138.709022543129,0.376777799226451,4.3473762148083e-05,0.27476395521589,0.496825499231276
"x11_dfa_harbour_p_ws","x10_dfa_ssl.est.wholerange_2yrlead","Pruned","ncc_int_2","ak_int_2",121.777309550654,131.596691630879,0.509581796448896,0.000698476578989693,0.211600696419952,0.481237353966002
"x11_dfa_harbour_p_ws","x10_californian_s_l_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",127.409300396785,139.410767383726,0.517919467860047,0.00798669162712262,0.27476395521589,0.421972815251662
"x11_dfa_harbour_p_ws","x10_californian_s_l_2yrlead_ws","Pruned","ncc_int_2","None",133.195876190666,142.62030683345,0.713006940391239,0.041595923120745,0.237109370993004,0.346080702267569
