"ncc_predator","ak_predator","model_type","active_ncc_terms","active_ak_terms","aic","bic","cfi","pvalue","sar_r2"
"x11_dfa_harbour_p_ws","x10_northern_f_s_2yrlead_ws","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",118.036627050996,130.038094037938,0.792501773285511,0.0701269211977222,0.583683635588289
"x11_dfa_harbour_p_ws","x10_northern_f_s_2yrlead_ws","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",116.048891811795,126.959316345378,0.84920098045391,0.108639865638074,0.582699434964401
"x11_dfa_harbour_p_ws","x15_arrowtoothflounderbiomass_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_arrowtoothflounderbiomass_predak, ak_int_1, ak_int_2, ak_int_3",121.644566969399,135.781212933574,0.763364500637519,0.0265782513799634,0.652324734792639
"x11_dfa_harbour_p_ws","x15_arrowtoothflounderbiomass_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","ak_int_1, ak_int_2",115.772804991673,126.375289464804,0.946783158349225,0.217393412293749,0.652008338050456
"x11_dfa_harbour_p_ws","x15_sablefishbiomass_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_sablefishbiomass_predak, ak_int_1, ak_int_2, ak_int_3",126.334986618,140.471632582175,0.638323246260608,0.00457086644820659,0.621518606468405
"x11_dfa_harbour_p_ws","x15_sablefishbiomass_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","x15_sablefishbiomass_predak, ak_int_2, ak_int_3",122.643085946376,134.423624249856,0.747654613813561,0.0182305722554122,0.612702275310936
"x11_dfa_harbour_p_ws","x15_sablefishrecruitment_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_sablefishrecruitment_predak, ak_int_1, ak_int_2, ak_int_3",129.510827912873,143.647473877048,0.572892541630778,0.00216163612743292,0.561498052706866
"x11_dfa_harbour_p_ws","x15_sablefishrecruitment_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","x15_sablefishrecruitment_predak, ak_int_2, ak_int_3",125.53123857739,137.311776880869,0.660347451319619,0.00522020654865085,0.564028004703551
"x11_dfa_harbour_p_ws","x15_pacificcodbiomass_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_pacificcodbiomass_predak, ak_int_1, ak_int_2, ak_int_3",129.564765778799,143.701411742974,0.550964685182453,0.00123656882872536,0.512392211095509
"x11_dfa_harbour_p_ws","x15_pacificcodbiomass_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","ak_int_2",126.364656373834,135.789087016618,0.629360438266255,0.00212476820809693,0.417607242655876
"x11_dfa_harbour_p_ws","x15_spinydogfishgoa_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",122.942736928281,137.079382892456,0.693354166030344,0.00805072760685854,0.648068358821252
"x11_dfa_harbour_p_ws","x15_spinydogfishgoa_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",120.946254010032,133.904846143859,0.835505527686705,0.0725946648643951,0.64825846349647
"x11_dfa_harbour_p_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_halibutbiomassage8plus_2yrlead_predak, ak_int_1, ak_int_2",132.221050268756,145.179642402583,0.510298496159369,0.00108179018667087,0.422056687827023
"x11_dfa_harbour_p_ws","x15_halibutbiomassage8plus_2yrlead_predak","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","None",128.773889731866,137.020266544302,0.582707290455456,0.0010356478789485,0.295119152355359
"x11_dfa_harbour_p_ws","x15_dfa_sleepersharks","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_dfa_sleepersharks, ak_int_1, ak_int_2",124.930006951472,137.888599085299,0.659575054464814,0.00506896418356306,0.582954087766668
"x11_dfa_harbour_p_ws","x15_dfa_sleepersharks","Fully_Pruned","x11_dfa_harbour_p_ws, ncc_int_1","ak_int_1",122.925821126088,132.350251768872,0.839165852796529,0.0587005598764347,0.502010510492399
"x11_dfa_harbour_p_ws","x15_salmonsharkgoa_predak","Full","x11_dfa_harbour_p_ws, ncc_int_1, ncc_int_2","x15_salmonsharkgoa_predak, ak_int_1, ak_int_2",132.452652865809,145.411244999636,0.503587616541169,0.00098893254830501,0.437067791241551
