"year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa"
2010,37,253,3
2010,38,270,3
2010,39,311,4
2010,40,192,5
2010,41,112,5
2010,42,30,5
2010,43,50,5
2010,44,17,4
2010,45,23,4
2010,46,30,2
2010,47,44,4
2010,48,33,3
2010,49,22,6
2010,50,7,4
2010,51,6,3
2010,52,1,3
2010,53,3,1
2011,1,1,4
2011,2,9,4
2011,3,8,6
2011,4,9,4
2011,5,13,4
2011,6,9,2
2011,7,9,5
2011,8,23,5
2011,9,21,5
2011,10,41,5
2011,11,43,5
2011,12,62,4
2011,13,47,4
2011,14,97,5
2011,15,48,4
2011,16,123,5
2011,17,83,5
2011,18,122,7
2011,19,166,5
2011,20,182,4
2011,21,129,3
2011,22,111,6
2011,23,71,4
2011,24,30,5
2011,25,11,2
2011,27,2,3
2011,28,0,2
2011,29,1,2
2011,30,4,5
2011,31,23,6
2011,32,104,4
2011,33,179,5
2011,34,247,5
2011,35,211,5
2011,36,194,3
2011,37,215,2
2011,38,200,4
2011,39,129,5
2011,40,46,6
2011,41,31,5
2011,42,42,4
2011,43,51,5
2011,44,92,2
2011,45,123,1
2011,46,86,6
2011,47,41,3
2011,48,100,4
2011,49,88,1
2011,50,21,5
2011,51,32,5
2011,52,13,4
2011,53,15,1
2012,1,11,5
2012,2,12,4
2012,3,1,3
2012,4,17,5
2012,5,14,4
2012,6,18,3
2012,7,14,3
2012,8,15,2
2012,9,20,5
2012,10,51,1
2012,11,20,4
2012,12,69,4
2012,13,51,3
2012,14,107,5
2012,15,127,4
2012,16,99,3
2012,17,116,2
2012,18,102,4
2012,19,163,6
2012,20,155,3
2012,21,112,4
2012,22,97,5
2012,23,35,5
2012,24,11,1
2012,25,8,5
2012,28,0,3
2012,29,0,2
2012,30,0,4
2012,31,27,5
2012,32,99,3
2012,33,131,4
2012,34,152,6
2012,35,150,5
2012,36,155,5
2012,37,151,4
2012,38,100,4
2012,39,90,5
2012,40,103,5
2012,41,86,4
2012,42,99,4
2012,43,18,2
2012,44,25,2
2012,45,79,4
2012,46,30,5
2012,47,12,3
2012,48,73,3
2012,49,8,2
2012,50,10,3
2012,51,3,3
2012,52,0,1
2012,53,19,1
2013,1,8,4
2013,2,14,5
2013,3,19,4
2013,4,18,5
2013,5,39,4
2013,6,44,2
2013,7,62,5
2013,8,68,3
2013,9,171,3
2013,10,240,5
2013,11,309,6
2013,12,260,2
2013,13,555,2
2013,14,573,3
2013,15,568,5
2013,16,518,2
2013,17,507,3
2013,18,570,2
2013,19,559,1
2013,20,628,4
2013,21,455,3
2013,22,269,5
2013,23,85,4
2013,24,20,4
2013,25,0,3
2013,26,0,2
2013,27,0,2
2013,28,0,2
2013,29,0,1
2013,30,4,3
2013,31,9,2
2013,32,84,2
2013,33,170,5
2013,34,209,4
2013,35,315,4
2013,36,302,5
2013,37,340,5
2013,38,282,4
2013,39,240,5
2013,40,141,5
2013,41,138,4
2013,42,116,4
2013,43,121,3
2013,44,68,2
2013,45,126,2
2013,46,108,1
2013,47,99,3
2013,48,50,3
2013,49,59,1
2013,50,55,3
2013,51,32,3
2013,52,89,2
2014,1,78,4
2014,2,135,2
2014,3,167,5
2014,4,128,5
2014,5,219,4
2014,6,106,4
2014,7,219,4
2014,8,392,5
2014,9,244,3
2014,10,452,3
2014,11,685,4
2014,12,662,4
2014,13,875,4
2014,14,1129,4
2014,15,876,5
2014,16,304,5
2014,17,267,4
2014,18,474,6
2014,19,511,4
2014,20,401,4
2014,21,436,4
2014,22,156,5
2014,23,40,4
2014,24,9,5
2014,25,0,1
2014,26,0,4
2014,27,0,3
2014,28,0,3
2014,29,1,1
2014,30,10,3
2014,31,57,4
2014,32,143,4
2014,33,296,4
2014,34,380,4
2014,35,320,3
2014,36,449,6
2014,37,381,5
2014,38,345,4
2014,39,362,5
2014,40,262,4
2014,41,166,5
2014,42,106,4
2014,43,59,4
2014,44,35,3
2014,45,60,3
2014,46,16,3
2014,47,23,3
2014,48,41,4
2014,49,22,5
2014,50,54,4
2014,51,60,4
2014,52,77,2
2014,53,32,1
2015,1,170,3
2015,2,93,5
2015,3,91,4
2015,4,153,4
2015,5,241,6
2015,6,851,5
2015,7,1273,3
2015,8,1329,3
2015,9,1120,2
2015,10,1334,4
2015,11,1512,1
2015,12,1841,4
2015,13,1971,4
2015,14,1319,4
2015,15,1147,3
2015,16,1121,3
2015,17,937,3
2015,18,1284,3
2015,19,747,4
2015,20,742,3
2015,21,565,3
2015,22,465,3
2015,23,294,4
2015,24,48,3
2015,25,3,3
2015,26,1,2
2015,27,0,2
2015,28,0,2
2015,29,0,4
2015,30,4,5
2015,31,47,5
2015,32,159,5
2015,33,252,5
2015,34,379,4
2015,35,442,3
2015,36,775,3
2015,37,953,3
2015,38,1167,3
2015,39,1071,6
2015,40,168,4
2015,41,31,4
2015,42,16,3
2015,43,13,4
2015,44,38,4
2015,45,19,2
2015,46,40,2
2015,47,33,5
2015,48,32,3
2015,49,46,1
2015,50,124,2
2015,51,47,5
2015,52,54,2
2015,53,27,1
2016,1,137,4
2016,2,153,5
2016,3,434,3
2016,4,383,5
2016,5,425,5
2016,6,979,6
2016,7,828,5
2016,8,1244,4
2016,9,2004,3
2016,10,2484,4
2016,11,2392,2
2016,12,932,6
2016,13,640,3
2016,14,429,2
2016,15,857,5
2016,16,1105,4
2016,17,801,3
2016,18,1039,1
2016,19,975,3
2016,20,895,5
2016,21,735,3
2016,22,651,5
2016,24,84,4
2016,25,28,3
2016,26,3,2
2016,27,1,3
2016,28,0,4
2016,29,0,3
2016,30,1,3
2016,31,14,5
2016,32,80,7
2016,33,169,4
2016,34,222,2
2016,35,293,4
2016,36,363,4
2016,37,466,2
2016,38,635,6
2016,39,810,4
2016,40,747,5
2016,41,513,7
2016,42,172,3
2016,43,65,1
2016,44,93,1
2016,45,177,2
2016,46,192,3
2016,47,188,1
2016,48,65,5
2016,49,49,5
2016,50,82,4
2016,51,29,4
2016,52,37,3
2016,53,6,1
2017,1,5,4
2017,2,62,4
2017,3,327,1
2017,4,1291,4
2017,5,846,6
2017,6,1718,3
2017,7,932,6
2017,8,1147,2
2017,9,692,4
2017,10,538,4
2017,11,523,4
2017,12,551,3
2017,13,608,6
2017,14,512,4
2017,15,918,3
2017,16,1019,3
2017,17,735,3
2017,18,824,3
2017,19,908,2
2017,20,943,5
2017,21,893,3
2017,22,453,5
2017,23,256,5
2017,24,81,4
2017,25,10,5
2017,26,2,2
2017,27,0,2
2017,28,0,2
2017,29,0,4
2017,32,20,4
2017,33,118,5
2017,34,276,3
2017,35,257,5
2017,36,256,2
2017,37,598,5
2017,38,669,4
2017,39,358,4
2017,40,398,3
2018,7,290,1
2018,12,164,1
2018,13,372,1
2018,14,316,1
2018,15,534,2
2018,16,785,3
2018,17,713,2
2018,20,577,2
2018,21,545,2
2019,51,140,1
2020,19,576,1
2020,51,243,2
2020,53,77,1
2021,2,142,2
2021,3,102,1
2021,5,459,1
2021,6,181,1
2021,7,127,1
2021,9,133,1
2021,10,77,1
2021,11,294,2
2021,13,677,2
2021,14,232,1
2021,17,565,1
2021,18,619,2
2021,19,527,1
2021,21,622,2
2021,23,94,1
2021,26,2,1
2021,50,200,1
2022,1,116,1
2022,2,250,1
2022,3,55,1
2022,4,146,1
2022,5,311,1
2022,6,150,1
2022,7,250,1
2022,12,580,1
2022,15,128,2
2022,17,560,1
2022,20,270,1
2022,21,457,2
2022,22,160,1
2022,24,17,2
2022,31,14,1
2022,33,347,2
2022,40,471,1
2022,42,532,1
2022,43,347,1
2022,45,116,1
2022,46,72,1
2022,50,191,1
2023,1,189,1
2023,2,224,1
2023,3,415,1
2023,5,88,1
2023,7,118,1
2023,9,969,1
2023,10,1342,1
2023,12,1362,1
2023,13,125,1
2023,15,660,1
2023,19,324,1
2023,23,41,1
2023,26,445,1
2023,34,428,1
2023,36,602,1
2023,38,943,1
2023,40,95,1
2023,49,388,1
2024,2,447,1
2024,4,647,1
2024,6,234,1
2024,7,352,4
2024,8,629,1
2024,9,210,1
2024,10,538,1
2024,11,449,1
2024,12,272,1
2024,21,195,1
2024,23,84,1
2024,38,482,1
2024,51,148,1
2025,2,922,1
