sst_col,forcing,ssl_col,forage_label,shark_col,k0,kT,kF,Q10,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark,model_group,sig_cpue,sig_ssl,sig_shark,sig_all3
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,0.5,2,19,32.74857754399075,0.7438661042166498,0.5859376493115162,0.5859376493115162,0.5859376493115162,0.002388644800702784,0.002388644800702784,0.002388644800702784,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,0.5,2.5,19,32.73640463912223,0.7440301513206216,0.5857939586097151,0.5857939586097151,0.5857939586097151,0.0023864632613182775,0.0023864632613182775,0.0023864632613182775,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1,1.5,19,28.54145827187361,0.7947409154941869,0.591391638463815,0.591391638463815,0.591391638463815,7.777327508428051e-4,7.777327508428051e-4,7.777327508428051e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1,2,19,28.523982117489876,0.7949296255065053,0.5912208289321915,0.5912208289321915,0.5912208289321915,7.763164622492705e-4,7.763164622492705e-4,7.763164622492705e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1,2.5,19,28.509643647776223,0.795084324776976,0.5910762908939489,0.5910762908939489,0.5910762908939489,7.752433041629005e-4,7.752433041629005e-4,7.752433041629005e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1.5,1.5,19,25.794403758041817,0.8223720504938441,0.5942906621141419,0.5942906621141419,0.5942906621141419,3.619966658006437e-4,3.619966658006437e-4,3.619966658006437e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1.5,2,19,25.77435536183219,0.8225593808802891,0.5941195666847202,0.5941195666847202,0.5941195666847202,3.6108855149258773e-4,3.6108855149258773e-4,3.6108855149258773e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,1.5,2.5,19,25.75790345782693,0.8227129583818112,0.5939745478686562,0.5939745478686562,0.5939745478686562,3.603894103648154e-4,3.603894103648154e-4,3.603894103648154e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,2,1.5,19,24.313740338174703,0.8356889072723137,0.598542089939789,0.598542089939789,0.598542089939789,2.313080947332092e-4,2.313080947332092e-4,2.313080947332092e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,2,2,19,24.291118977393214,0.8358844193089466,0.5983704532679823,0.5983704532679823,0.5983704532679823,2.305542140059322e-4,2.305542140059322e-4,2.305542140059322e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,2,2.5,19,24.272594769804037,0.8360443471813723,0.5982246212936496,0.5982246212936496,0.5982246212936496,2.2996999446508415e-4,2.2996999446508415e-4,2.2996999446508415e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,0.5,1.5,19,23.0392554458562,0.8463490631868473,1.023289618120715,1.023289618120715,1.023289618120715,1.5630624242602018e-5,1.5630624242602018e-5,1.5630624242602018e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,0.5,2,19,23.071508908028086,0.846088011429027,1.0233229235922614,1.0233229235922614,1.0233229235922614,1.583020114730026e-5,1.583020114730026e-5,1.583020114730026e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,0.5,2.5,19,23.097657371363972,0.845876046553641,1.0233336950303307,1.0233336950303307,1.0233336950303307,1.599589584004059e-5,1.599589584004059e-5,1.599589584004059e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,1,1.5,19,20.95330269353047,0.8623249224195523,0.8550196946681353,0.8550196946681353,0.8550196946681353,1.5049088520714677e-5,1.5049088520714677e-5,1.5049088520714677e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,1,2,19,21.005151025339217,0.8619487133893532,0.8549337430331085,0.8549337430331085,0.8549337430331085,1.5345239165422072e-5,1.5345239165422072e-5,1.5345239165422072e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,1,2.5,19,21.04650820339173,0.8616478907592714,0.8548525456173018,0.8548525456173018,0.8548525456173018,1.5588302117904116e-5,1.5588302117904116e-5,1.5588302117904116e-5,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1,0.5,1.5,1.5,19,23.520142687119836,0.8424105489186565,0.7604212661799147,0.7604212661799147,0.7604212661799147,5.7724324595529395e-5,5.7724324595529395e-5,5.7724324595529395e-5,short,TRUE,TRUE,TRUE,TRUE
