model_group,shark_col,shark_temp_col,overlap_form,overlap_slope,shark_transform,aic_weight,delta_aic,n,curve_id,T,O_T,O_T_norm
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.3190954773869346,0.20854271356783927,0.19915172562170935
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.293969849246231,0.22361809045226144,0.21354823590761612
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.2688442211055275,0.2386934673366835,0.22794474619352276
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.243718592964824,0.25376884422110557,0.24234125647942942
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.2185929648241205,0.26884422110552775,0.25673776676533616
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.193467336683417,0.2839195979899498,0.2711342770512428
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.1683417085427135,0.298994974874372,0.2855307873371496
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.14321608040201,0.31407035175879405,0.29992729762305625
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.1180904522613064,0.3291457286432161,0.3143238079089629
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.092964824120603,0.3442211055276383,0.32872031819486963
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.0678391959798994,0.35929648241206036,0.3431168284807763
