model_group,forage_set_id,forage_label,importance_aicw,n_models,min_aic,mean_r2,rank,importance_rel_top1
long,110,crg_herr_matbiom + ammod_eai + capelin_w_go_a,1.753049175088103e-4,3,44.65958426808628,0.6253839354206621,114,0.0016547562004640066
long,66,stka_herr_matbiom + mid_il_capelin + ammod_eai,1.7457292432753138e-4,3,44.76604646388926,0.6316659625934709,115,0.0016478466951709916
long,146,pav_capelin_cpue + ammod_eai + capelin_w_go_a,1.4093314826136641e-4,3,45.292474152678786,0.6294724806985852,116,0.001330310662418747
long,121,mid_il_capelin + pav_capelin_cpue + ammod_eai,1.3056859230293908e-4,3,45.41972531755092,0.626056224722108,117,0.0012324764802349993
long,132,mid_il_capelin + ammod_eai + sitka_herring_e_go_a,1.1542874919167305e-4,3,45.445888458944715,0.6074027173320277,118,0.001089566916610461
long,22,crg_herr_matbiom + x13_ammod_wai,1.1184118708520806e-4,3,45.42647964144934,0.5930546612887043,119,0.0010557028315375235
long,35,pav_capelin_cpue + x13_ammod_wai,1.1169427920569779e-4,3,45.55827458859343,0.6107785800221575,120,0.0010543161235776375
long,80,stka_herr_matbiom + x13_ammod_wai + abund_herring,1.0245330715637644e-4,3,45.62202507461095,0.59345540640408,121,9.670877901444891e-4
long,109,crg_herr_matbiom + x13_ammod_wai + est_abund_herring_recruits,9.111734297260145e-5,3,45.85412696169862,0.5905351133742739,122,8.6008419156947e-4
long,144,pav_capelin_cpue + x13_ammod_wai + abund_herring,8.872694578485717e-5,3,45.94729218997451,0.5955444339057477,123,8.375205086779574e-4
long,164,x13_ammod_wai + sitka_herring_e_go_a + est_abund_herring_recruits,8.493127570139371e-5,3,45.95585884888409,0.5797212091305527,124,8.016920293929355e-4
long,131,mid_il_capelin + ammod_eai + capelin_w_go_a,7.630513463204455e-5,3,46.4731031374441,0.608020318542534,125,7.202672717567706e-4
long,43,x13_ammod_wai + sitka_herring_e_go_a,7.356919955697431e-5,3,46.23848180837449,0.571823000795301,126,6.944419521144286e-4
long,94,crg_herr_matbiom + mid_il_capelin + ammod_eai,6.469725394641409e-5,3,46.65477113686043,0.5930683618157397,127,6.106969709816766e-4
long,166,ammod_eai + capelin_w_go_a + sitka_herring_e_go_a,4.923331386430734e-5,3,47.1708409305613,0.5807926201197179,128,4.647281579095391e-4
long,108,crg_herr_matbiom + x13_ammod_wai + abund_herring,3.937994383935145e-5,3,47.52450320048105,0.5588200989340217,129,3.717192145440884e-4
long,149,pav_capelin_cpue + ammod_eai + est_abund_herring_recruits,3.846079305491314e-5,3,48.00242265512524,0.5908683138276125,130,3.630430719616408e-4
long,85,stka_herr_matbiom + ammod_eai + est_abund_herring_recruits,2.5718016387678127e-5,3,48.888140321254745,0.5799288575563384,131,2.4276014435822387e-4
long,10,est_abund_herring_recruits,2.461209725106699e-5,3,48.885990983821415,0.5725517275073848,132,2.323210387442749e-4
long,163,x13_ammod_wai + sitka_herring_e_go_a + abund_herring,2.1266547912723197e-5,3,48.73218806769888,0.5291154626034865,133,2.007413854735421e-4
long,130,mid_il_capelin + x13_ammod_wai + est_abund_herring_recruits,1.964176881702752e-5,3,49.03293893234847,0.5497471787997243,134,1.854046035897618e-4
long,29,mid_il_capelin + x13_ammod_wai,1.6727330996746566e-5,3,49.44820392981913,0.5507335535706344,135,1.5789434248294294e-4
long,55,abund_herring + est_abund_herring_recruits,1.3888728268842602e-5,3,49.87716132723244,0.5466595166637628,136,1.3109991177670186e-4
long,148,pav_capelin_cpue + ammod_eai + abund_herring,1.3220257589533187e-5,3,50.43046743923284,0.5604298287433173,137,1.2479001461503182e-4
long,15,stka_herr_matbiom + ammod_eai,1.2512329783234549e-5,3,50.595972080383405,0.5597771675838623,138,1.1810766968369421e-4
long,42,x13_ammod_wai + capelin_w_go_a,1.2469455606844595e-5,3,50.06644621699358,0.5413617825192807,139,1.1770296735001611e-4
long,113,crg_herr_matbiom + ammod_eai + est_abund_herring_recruits,1.1231992105485719e-5,3,50.48602742257131,0.5480308157895896,140,1.0602217464425195e-4
long,162,x13_ammod_wai + capelin_w_go_a + est_abund_herring_recruits,1.0930824674210495e-5,3,50.249711557526865,0.5311658223490303,141,1.0317936406390729e-4
long,36,pav_capelin_cpue + ammod_eai,9.465324287785737e-6,3,51.31091120189961,0.5514554952519362,142,8.934606214813592e-5
long,170,ammod_eai + sitka_herring_e_go_a + est_abund_herring_recruits,7.76987611472979e-6,3,51.16215610163197,0.5316733299731587,143,7.334221344384215e-5
long,84,stka_herr_matbiom + ammod_eai + abund_herring,6.228008868516266e-6,3,51.978616683935584,0.5332267384376551,144,5.878806161386872e-5
long,129,mid_il_capelin + x13_ammod_wai + abund_herring,6.0744170021156525e-6,3,51.472165121804,0.5109176631784221,145,5.7338261477746e-5
long,134,mid_il_capelin + ammod_eai + est_abund_herring_recruits,5.677716107040005e-6,3,51.93289217219933,0.5242961243617126,146,5.3593681604092103e-5
long,141,pav_capelin_cpue + x13_ammod_wai + ammod_eai,5.477375660440957e-6,3,52.179476785691755,0.5271271187158086,147,5.170260746353446e-5
