shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,aic_base,bic_base,b_shark_base,p_shark_base,delta_aic_vs_base,improved_fit,sig_shark_int,sig_shark_base
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.4,log1p,24,103.59486571544107,111.84124252787669,0.8967790705317138,0.22484728572480325,-0.3720149782675391,1.4367408690740824e-4,0.5049136880093748,0.01645020066243008,-0.3261648300484288,0.03270883945392766,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-3.8069672579328255,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.2,raw,24,101.80360497116197,110.04998178359759,0.9024322958460798,0.22698621582547304,-0.3720149782675388,1.4367408695092898e-4,0.6660034300419972,3.6492299826451635e-4,-0.3528743957612474,0.00924853423866101,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-3.7408072049510963,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.4,log1p,24,103.6631110557245,111.90948786816011,0.8940284517400994,0.2278040437066931,-0.37201497826753893,1.4367408697779638e-4,0.49846177349306153,0.018847412718706158,-0.32594749858091177,0.03429662704340353,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-3.7387219176494,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.4,raw,24,101.84517661240358,110.09155342483919,0.9013315099361633,0.2281947875152687,-0.3720149782675389,1.4367408696958073e-4,0.6677344628564461,3.559789280807024e-4,-0.3517561233140969,0.009528778053384368,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-3.699235563709493,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.6,raw,24,101.8618063857408,110.10818319817642,0.922269058417786,0.20015603466942225,-0.37201497826753877,1.4367408692850248e-4,0.6383081604570525,6.72055167382668e-4,-0.35250474555775235,0.009643165806524134,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-3.682605790372264,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.2,raw,24,102.67654122139476,110.92291803383037,0.9011929661876779,0.22417630342883066,-0.37201497826753915,1.4367408686166705e-4,0.6663428517133261,4.6239533076763983e-4,-0.3289186384515865,0.017208590873984964,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-2.867870954718313,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.4,raw,24,102.73149207412959,110.9778688865652,0.8996071833390701,0.2258845384516024,-0.37201497826753904,1.4367408694027084e-4,0.6685072951215415,4.490334779834182e-4,-0.327278418445159,0.0178877641278119,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-2.8129201019834795,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,linear,1,raw,24,104.79611496423334,113.04249177666895,0.9070286219111874,0.20604961155748694,-0.37201497826753915,1.4367408689341943e-4,0.607356179687426,0.002763763640268868,-0.2620203110963224,0.07515847204825121,107.13437529228796,115.38075210472357,-0.12175665248712778,0.4220217321922468,-2.3382603280546164,TRUE,FALSE,FALSE
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,linear,1,raw,24,104.8019419226265,113.04831873506211,0.9071312618488823,0.20589401206510982,-0.3720149782675388,1.4367408696380757e-4,0.6037348640586214,0.002993459444689872,-0.26232987936719954,0.07546266506514576,107.13437529228796,115.38075210472357,-0.12175665248712778,0.4220217321922468,-2.3324333696614588,TRUE,FALSE,FALSE
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.8,raw,24,104.9076405528605,113.15401736529611,0.9011949757924311,0.21250360209353317,-0.37201497826753915,1.4367408687343541e-4,0.6034908237394452,0.0030967245886301953,-0.2581318898136675,0.08120296783935399,107.13437529228796,115.38075210472357,-0.12175665248712778,0.4220217321922468,-2.2267347394274566,TRUE,FALSE,FALSE
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.2,log1p,24,105.18979044188643,113.43616725432204,0.8523900972164776,0.2651571805147153,-0.3720149782675391,1.4367408690629802e-4,0.5606308069010877,0.00850619052668855,-0.25517768579944716,0.0988114335317356,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-2.2120425314874694,TRUE,FALSE,FALSE
