model_group,overlap_form,T,w_mean,w_q10,w_q90
short,linear,0.791457286432161,1.1582914572864322,1.1582914572864322,1.1582914572864322
short,linear,0.8165829145728645,1.1633165829145728,1.1633165829145728,1.1633165829145728
short,linear,0.841708542713568,1.1683417085427137,1.1683417085427137,1.1683417085427137
short,linear,0.8668341708542715,1.1733668341708543,1.1733668341708543,1.1733668341708543
short,linear,0.891959798994975,1.178391959798995,1.178391959798995,1.178391959798995
short,linear,0.9170854271356785,1.1834170854271358,1.1834170854271358,1.1834170854271358
short,linear,0.942211055276382,1.1884422110552764,1.1884422110552764,1.1884422110552764
short,linear,0.9673366834170856,1.1934673366834172,1.1934673366834172,1.1934673366834172
short,linear,0.9924623115577891,1.1984924623115578,1.1984924623115578,1.1984924623115578
short,linear,1.0175879396984926,1.2035175879396984,1.2035175879396984,1.2035175879396984
short,linear,1.042713567839196,1.2085427135678393,1.2085427135678393,1.2085427135678393
short,linear,1.0678391959798996,1.2135678391959799,1.2135678391959799,1.2135678391959799
short,linear,1.0929648241206031,1.2185929648241207,1.2185929648241207,1.2185929648241207
short,linear,1.1180904522613067,1.2236180904522613,1.2236180904522613,1.2236180904522613
short,linear,1.1432160804020102,1.228643216080402,1.228643216080402,1.228643216080402
short,linear,1.1683417085427137,1.2336683417085428,1.2336683417085428,1.2336683417085428
short,linear,1.1934673366834172,1.2386934673366834,1.2386934673366834,1.2386934673366834
short,linear,1.2185929648241207,1.2437185929648242,1.2437185929648242,1.2437185929648242
short,linear,1.2437185929648242,1.2487437185929648,1.2487437185929648,1.2487437185929648
short,linear,1.2688442211055277,1.2537688442211055,1.2537688442211055,1.2537688442211055
short,linear,1.2939698492462313,1.2587939698492463,1.2587939698492463,1.2587939698492463
short,linear,1.3190954773869348,1.263819095477387,1.263819095477387,1.263819095477387
short,linear,1.3442211055276383,1.2688442211055277,1.2688442211055277,1.2688442211055277
short,linear,1.3693467336683418,1.2738693467336684,1.2738693467336684,1.2738693467336684
short,linear,1.3944723618090453,1.278894472361809,1.278894472361809,1.278894472361809
short,linear,1.4195979899497488,1.2839195979899498,1.2839195979899498,1.2839195979899498
short,linear,1.4447236180904524,1.2889447236180904,1.2889447236180904,1.2889447236180904
short,linear,1.4698492462311559,1.2939698492462313,1.2939698492462313,1.2939698492462313
short,linear,1.4949748743718594,1.2989949748743719,1.2989949748743719,1.2989949748743719
short,linear,1.5201005025125633,1.3040201005025127,1.3040201005025127,1.3040201005025127
short,linear,1.5452261306532664,1.3090452261306533,1.3090452261306533,1.3090452261306533
short,linear,1.5703517587939704,1.3140703517587942,1.3140703517587942,1.3140703517587942
short,linear,1.5954773869346734,1.3190954773869348,1.3190954773869348,1.3190954773869348
short,linear,1.6206030150753774,1.3241206030150754,1.3241206030150754,1.3241206030150754
short,linear,1.6457286432160805,1.329145728643216,1.329145728643216,1.329145728643216
short,linear,1.6708542713567844,1.3341708542713568,1.3341708542713568,1.3341708542713568
short,linear,1.6959798994974875,1.3391959798994975,1.3391959798994975,1.3391959798994975
short,linear,1.7211055276381915,1.3442211055276383,1.3442211055276383,1.3442211055276383
short,linear,1.7462311557788945,1.349246231155779,1.349246231155779,1.349246231155779
short,linear,1.7713567839195985,1.3542713567839197,1.3542713567839197,1.3542713567839197
short,linear,1.7964824120603016,1.3592964824120604,1.3592964824120604,1.3592964824120604
short,linear,1.8216080402010055,1.3643216080402012,1.3643216080402012,1.3643216080402012
short,linear,1.8467336683417086,1.3693467336683418,1.3693467336683418,1.3693467336683418
short,linear,1.8718592964824126,1.3743718592964824,1.3743718592964824,1.3743718592964824
short,linear,1.8969849246231156,1.379396984924623,1.379396984924623,1.379396984924623
short,linear,1.9221105527638196,1.3844221105527639,1.3844221105527639,1.3844221105527639
short,linear,1.9472361809045227,1.3894472361809045,1.3894472361809045,1.3894472361809045
short,linear,1.9723618090452266,1.3944723618090453,1.3944723618090453,1.3944723618090453
short,linear,1.9974874371859297,1.399497487437186,1.399497487437186,1.399497487437186
short,linear,2.0226130653266337,1.4045226130653268,1.4045226130653268,1.4045226130653268
short,linear,2.0477386934673367,1.4095477386934674,1.4095477386934674,1.4095477386934674
short,linear,2.0728643216080407,1.4145728643216082,1.4145728643216082,1.4145728643216082
short,linear,2.0979899497487438,1.4195979899497488,1.4195979899497488,1.4195979899497488
short,linear,2.1231155778894477,1.4246231155778895,1.4246231155778895,1.4246231155778895
short,linear,2.148241206030151,1.42964824120603,1.42964824120603,1.42964824120603
short,linear,2.1733668341708547,1.434673366834171,1.434673366834171,1.434673366834171
short,linear,2.198492462311558,1.4396984924623115,1.4396984924623115,1.4396984924623115
short,linear,2.2236180904522618,1.4447236180904524,1.4447236180904524,1.4447236180904524
short,linear,2.248743718592965,1.449748743718593,1.449748743718593,1.449748743718593
short,linear,2.273869346733669,1.4547738693467338,1.4547738693467338,1.4547738693467338
short,linear,2.298994974874372,1.4597989949748744,1.4597989949748744,1.4597989949748744
short,linear,2.324120603015076,1.4648241206030153,1.4648241206030153,1.4648241206030153
short,linear,2.349246231155779,1.4698492462311559,1.4698492462311559,1.4698492462311559
short,linear,2.374371859296483,1.4748743718592965,1.4748743718592965,1.4748743718592965
short,linear,2.399497487437186,1.479899497487437,1.479899497487437,1.479899497487437
short,linear,2.42462311557789,1.484924623115578,1.484924623115578,1.484924623115578
short,linear,2.449748743718593,1.4899497487437185,1.4899497487437185,1.4899497487437185
short,linear,2.474874371859297,1.4949748743718594,1.4949748743718594,1.4949748743718594
short,linear,2.5,1.5,1.5,1.5
