"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_hake_sar","p_hake_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"87","x15_shark_catch_go_a_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",18,88.1077314349949,94.3403337402681,1,0,-0.591374424686019,0.000176445789166868,-0.258640473713592,0.203161908574891,-0.358477197829493,0.155653352170621,-0.89188079007127,0.00211779479380469,"2 Predators",-4.36466899781109,FALSE
"88","x15_sablefish_recruitment_pred_ak","x15_shark_enso_roll2",18,88.1852285787828,94.4178308840559,1,0,-0.591374361789308,0.000176445193183605,-0.725990825381407,9.84411762268156e-05,0.304265991027466,0.0966640056406081,-0.557566552278323,0.0124200050105452,"2 Predators",-4.28717185402326,TRUE
"89","x15_salmon_shark_go_a_pred_ak","x13_stka_herr_matbiom",18,88.1856541102566,94.4182564155298,1,0,-0.591374359836093,0.000176445140014359,-0.599738602241698,9.12395652663545e-05,0.00635450658716001,0.966793170828927,0.48556504324916,0.00292972626427912,"1 Predator + 1 Prey",-4.28674632254936,FALSE
"90","x15_salmon_shark_go_a_pred_ak","x13_hexagram_eai",18,88.2466334098335,94.4792357151066,1,0,-0.591374412593062,0.000176444845820356,-0.374420055217728,0.0131923569488794,-0.250119919805123,0.0765447363486611,-0.492251205177784,0.00314854243160467,"1 Predator + 1 Prey",-4.22576702297255,FALSE
"91","x15_dfa_sleeper_shark_bsai_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",18,88.2889225377802,94.5215248430533,1,0,-0.591374369549632,0.00017644500313363,-0.187159843130448,0.452838435338617,-0.593836984537013,0.00255378089707814,-0.348471105637595,0.180443682949019,"1 Predator + 1 Prey",-4.18347789502585,FALSE
"92","x15_sablefish_recruitment_pred_ak","x13_mid_il_capelin",18,88.317275161977,94.5498774672501,1,0,-0.591375166897099,0.000176440538157907,-0.403309122150171,0.0737743001424798,0.4756132587347,0.0103796923744512,0.540667905762481,0.0102848777909113,"1 Predator + 1 Prey",-4.15512527082905,FALSE
"93","x15_pacific_cod_biomass_pred_ak","x13_wgoa_cap_pcod",18,88.3516027277182,94.5842050329913,1,0,-0.59137432547989,0.00017644550561946,-0.0545042128743327,0.823716210426308,-0.655201810325976,0.00437502923105471,0.974091523884458,0.00233749088311885,"1 Predator + 1 Prey",-4.12079770508781,FALSE
"94","x15_salmon_shark_go_a_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",18,88.3789760127606,94.6115783180338,1,0,-0.591374452943078,0.000176445088606592,-0.934170317827934,1.51967376771367e-05,-0.095724389500713,0.502818788774637,0.654562054379765,0.00343293138821354,"1 Predator + 1 Prey",-4.09342442004541,FALSE
"95","x15_shark_enso_roll2","x13_mid_il_capelin",18,88.398660727337,94.6312630326102,0.999808087416457,0.0101913706385588,-0.591374237831897,0.000176446465353308,-0.288069924840708,0.172050998077141,-0.570272396407408,0.0103499931371409,0.345589917927331,0.0956293513665587,"1 Predator + 1 Prey",-4.07373970546899,TRUE
"96","x10_californian_s_l_2yr_lead_ws","x13_dfa_wgoa_dfa_mid_trophic",18,88.4080506781435,94.6406529834167,1,0,-0.591374341421549,0.000176445313232909,-0.90973758659537,6.61141223816664e-05,0.118009344195972,0.519989637052725,0.606418459217555,0.0158572081418189,"1 Predator + 1 Prey",-4.06434975466249,FALSE
"97","x15_sablefish_biomass_pred_ak","x13_dfa_wgoa_dfa_seabirds",18,88.4085815708742,94.6411838761474,1,0,-0.591374359369201,0.000176445233862621,-0.510536597188747,0.00866264313817933,0.561975434709723,0.00164232207038761,-0.43480700049516,0.0498393884256063,"1 Predator + 1 Prey",-4.06381886193176,FALSE
"98","x15_sablefish_recruitment_pred_ak","x12_copepod_com_e_go_a",18,88.4428511243985,94.6754534296717,1,0,-0.591374340000671,0.000176445323301078,-0.815963029310214,1.8838103443608e-05,0.225620025035356,0.241419136638634,0.439601943591572,0.0156397791902467,"1 Predator + 1 Prey",-4.0295493084075,FALSE
"99","x10_dfa_ssl_est_wholerange_2yr_lead","x13_dfa_wgoa_dfa_mid_trophic",18,88.4777520026922,94.7103543079653,1,0,-0.591374341201213,0.000176445313261997,-0.939308475446596,1.42608236417541e-05,0.142052852050303,0.558107367977338,0.59501591737875,0.0268973571675564,"1 Predator + 1 Prey",-3.99464843011386,FALSE
"100","x10_harbour_s_2yr_lead_ws","x12_copepod_com_e_go_a",18,88.4871086922764,94.7197109975496,1,0,-0.591374340719209,0.000176445310882123,-0.692928959072852,2.6546211871592e-05,-0.198973688800969,0.249740078302456,0.521008620058357,0.00251935445131779,"1 Predator + 1 Prey",-3.98529174052959,FALSE
"101","x15_arrowtooth_flounder_biomass_pred_ak","x21_sst_wgoa_coastwatch_junjulaug",18,88.5499824025125,94.7825847077857,1,0,-0.59137433953221,0.000176445266926839,-0.548221076234273,0.0423431869541151,-0.55100355029771,0.00343849715031652,-0.316726058557117,0.226598867997529,"1 Predator + 1 Prey",-3.9224180302935,FALSE
"102","x15_sablefish_biomass_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",18,88.566723618708,94.7993259239811,1,0,-0.591374279350823,0.000176445539313397,-0.947431354782512,1.05621126302857e-05,0.11177144692304,0.61419838910405,0.577849952649528,0.0592672187502781,"1 Predator + 1 Prey",-3.90567681409806,FALSE
"103","x15_shark_enso_roll2","x21_enso_dj",18,88.5938037355666,94.8264060408398,1,0,-0.591374343649001,0.000176445282845661,-0.460267853991548,0.00372578240456622,-0.718827804362638,0.00202952188857042,-0.285444354632386,0.129244449487901,"1 Predator + 1 Prey",-3.8785966972394,TRUE
"104","x10_northern_f_s_2yr_lead_ws","x13_dfa_wgoa_dfa_mid_trophic",18,88.6147658723465,94.8473681776196,1,0,-0.591374331531136,0.000176445327823682,-1.04437859243605,0.000159337707944518,-0.103438698865616,0.65096125708568,0.714952069483685,0.00184809885000425,"1 Predator + 1 Prey",-3.85763456045956,FALSE
"105","x15_arrowtooth_flounder_biomass_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",18,88.6333848937155,94.8659871989886,1,0,-0.591374333555437,0.000176445347979781,-0.938725938070815,2.22250755861353e-05,-0.163911836048287,0.666670097301654,0.519586813080159,0.242690544426391,"1 Predator + 1 Prey",-3.83901553909051,FALSE
"106","x10_dfa_ssl_est_wholerange_2yr_lead","x15_salmon_shark_go_a_pred_ak",18,88.6363464234506,94.8689487287237,1,0,-0.59137435252278,0.000176445168606154,-0.620802482616129,8.10466651113284e-05,0.603012543030581,0.00430610989296998,-0.32518767590896,0.0296490092695088,"2 Predators",-3.83605400935545,FALSE
"107","x15_arrowtooth_flounder_biomass_pred_ak","x12_dfa_biomass_euph_shelf_sum",18,88.684695797513,94.9172981027862,1,0,-0.591374329770528,0.000176445298065042,-0.703665255585386,0.000335866729693102,-0.57625510352164,0.00247518209586306,-0.194714233622809,0.252644084743676,"1 Predator + 1 Prey",-3.78770463529298,FALSE
"108","x10_californian_s_l_2yr_lead_ws","x12_copepod_biomass_w_go_a",18,88.7125159472744,94.9451182525475,1,0,-0.591374260473444,0.000176445786809198,-0.205093273361354,0.288715075288301,0.190686912147471,0.269593382624624,-0.51421155431507,0.0196338520393593,"1 Predator + 1 Prey",-3.75988448553161,FALSE
"109","x10_californian_s_l_2yr_lead_ws","x13_hexagram_eai",18,88.7169802468714,94.9495825521445,1,0,-0.591374328994996,0.000176445394771463,-0.416024767405781,0.00634443253574712,0.262959350620434,0.109370880237654,-0.39442208427581,0.0201093296921684,"1 Predator + 1 Prey",-3.75542018593461,FALSE
"110","x15_arrowtooth_flounder_biomass_pred_ak","x15_shark_enso_roll2",18,88.7187711832131,94.9513734884863,1,0,-0.591374326405429,0.000176445319941987,-0.716312371978836,0.000210136466916921,-0.366839792494303,0.142271456951483,-0.334095106838139,0.257732511823738,"2 Predators",-3.75362924959288,TRUE
"111","x15_dfa_sleeper_shark_bsai_pred_ak","x13_hexagram_wai",18,88.760186956739,94.9927892620121,1,0,-0.591374353162134,0.000176445205524622,-0.491684658008349,0.00167846221080659,-0.707691589013144,0.00153535628600499,-0.30681144888741,0.245448487629728,"1 Predator + 1 Prey",-3.71221347606702,FALSE
"112","x10_californian_s_l_2yr_lead_ws","x15_dfa_sleeper_shark_bsai_pred_ak",18,88.7802906431405,95.0128929484137,1,0,-0.591373464831062,0.000176449288651126,-0.425923160925326,0.00601930969658548,-0.398334136356627,0.248228856854526,-1.02509695212068,0.0160369953673329,"2 Predators",-3.69210978966551,FALSE
"113","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",18,88.7989717442901,95.0315740495633,1,0,-0.591374347924949,0.000176445258776914,-0.982679919727732,0.000106486603306033,0.0657702406870179,0.892335593655089,0.729297304439762,0.0627235937503949,"1 Predator + 1 Prey",-3.67342868851588,FALSE
