"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"161","x10_californian_s_l_2yr_lead_ws","x13_wgoa_cap_pcod",24,120.971606725565,128.039929707653,1,0,-0.613080028554731,0.000143674086900969,0.416706501384374,0.0135196711462469,0.117525031022997,0.470939537645227,0.341645244435788,0.0546106517712559,"1 Predator + 1 Prey",-1.29622379056309,FALSE
"162","x15_shark_enso_roll2","x13_dfa_wgoa_dfa_mid_trophic",24,120.981559431599,128.049882413687,0.747228683639744,0.315554260383477,-0.613080028554731,0.000143674086900969,0.56922240282764,0.000772888069214162,-0.400194580740515,0.0206844909801518,-0.0762072268050291,0.686876341842226,"1 Predator + 1 Prey",-1.28627108452881,TRUE
"163","x15_spiny_dogfish_go_a_pred_ak","x13_mid_il_capelin",24,121.009875305197,128.078198287285,0.871619730982576,0.20808090135591,-0.613080028554731,0.000143674086900969,0.421060428658313,0.0132395452227594,0.152403190893023,0.33715114353524,0.372222830393085,0.023403901524867,"1 Predator + 1 Prey",-1.25795521093062,FALSE
"164","x10_dfa_ssl_est_wholerange_2yr_lead","x15_shark_enso_roll2",24,121.048995885949,128.117318868037,0.821724013628507,0.252306424773141,-0.613080028554731,0.000143674086900969,0.586647453223407,0.000198181720326263,-0.060294730794139,0.75512663099938,-0.403331688168128,0.0326448414457803,"2 Predators",-1.21883463017915,TRUE
"165","x15_dfa_sleeper_shark_bsai_pred_ak","x14_pink_salmon_asia",24,121.053999018563,128.122322000651,0.820517069771391,0.25331517620143,-0.613080028554731,0.000143674086900969,0.612686103262077,7.92691816540181e-05,-0.256272593138448,0.238403989908021,0.147140141215173,0.502166628798962,"1 Predator + 1 Prey",-1.2138314975648,FALSE
"166","x10_northern_f_s_2yr_lead_ws","x14_pink_salmon_north_america",24,121.055846247783,128.12416922987,0.951502518661734,0.122272579109991,-0.613080028554731,0.000143674086900969,0.515484021406781,0.00102697835503429,0.236253908390865,0.134433725779433,-0.261213708167157,0.0899473984922523,"1 Predator + 1 Prey",-1.21198426834542,FALSE
"167","x10_californian_s_l_2yr_lead_ws","x15_shark_enso_roll2",24,121.067850881292,128.13617386338,0.831603891525642,0.243645702387037,-0.613080028554731,0.000143674086900969,0.595696543936338,0.000103867735557817,0.0509642653882618,0.778149384385129,-0.342385270728452,0.0588478543465116,"2 Predators",-1.19997963483587,TRUE
"168","x15_spiny_dogfish_go_a_pred_ak","x13_ammod_wai",24,121.086184258692,128.154507240779,0.72376415551207,0.33435188505934,-0.613080028554731,0.000143674086900969,0.492845689714649,0.00210208355307251,-0.130046302020719,0.526330150527807,-0.440185057756306,0.0264471172452589,"1 Predator + 1 Prey",-1.18164625743643,FALSE
"169","x15_spiny_dogfish_go_a_pred_ak","x13_hexagram_eai",24,121.098458610687,128.166781592775,0.806248789655917,0.265230551172885,-0.613080028554731,0.000143674086900969,0.541677822772291,0.000753833735740006,0.209460272992852,0.190236998422736,-0.335411161338741,0.0322914134448105,"1 Predator + 1 Prey",-1.16937190544104,FALSE
"170","x15_spiny_dogfish_go_a_pred_ak","x15_shark_enso_roll2",24,121.12259455177,128.190917533858,0.795551237424082,0.274122845700805,-0.613080028554731,0.000143674086900969,0.590844081070103,0.000218885619900133,-0.029129019883826,0.876679718364362,-0.384197272314338,0.0340127838513888,"2 Predators",-1.14523596435808,TRUE
"171","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x15_shark_enso_roll2",24,121.124355579924,128.192678562011,0.819015982102133,0.254180848918465,-0.613080028554731,0.000143674086900969,0.591770741015311,0.000163445259008688,0.0258071257550459,0.879818543844872,-0.379207760986994,0.0232218565716962,"2 Predators",-1.14347493620446,TRUE
"172","x15_shark_catch_go_a_pred_ak","x15_shark_enso_roll2",24,121.128686018081,128.197009000169,0.792445309151775,0.276697894145756,-0.613080028554731,0.000143674086900969,0.592344645529501,0.000201267452321519,-0.024937804651511,0.893439970691057,-0.382011065892892,0.0340068770585944,"2 Predators",-1.1391444980471,TRUE
"173","x15_arrowtooth_flounder_biomass_pred_ak","x15_shark_enso_roll2",24,121.139692761019,128.208015743107,0.763135863722035,0.301133698328793,-0.613080028554731,0.000143674086900969,0.593227469437437,0.000256723786484558,0.0172560591514538,0.93259020892624,-0.37965529277465,0.0521162814661682,"2 Predators",-1.12813775510904,TRUE
"174","x15_pacific_cod_biomass_pred_ak","x15_shark_enso_roll2",24,121.143023729403,128.211346711491,0.763369964177884,0.300914869167923,-0.613080028554731,0.000143674086900969,0.593920750070127,0.000261605800118359,0.0102369709461938,0.949756830107608,-0.368958621530827,0.0164903674509664,"2 Predators",-1.12480678672472,TRUE
"175","x10_northern_f_s_2yr_lead_ws","x13_mid_il_capelin",24,121.144997180399,128.213320162486,1,0,-0.613080028554731,0.000143674086900969,0.373507727553223,0.0235723144195759,0.151493137893808,0.38041316199196,0.314155784573993,0.0821901869956847,"1 Predator + 1 Prey",-1.12283333572941,FALSE
"176","x15_sablefish_recruitment_pred_ak","x15_shark_enso_roll2",24,121.147025215945,128.215348198033,0.750241479724931,0.311813238950161,-0.613080028554731,0.000143674086900969,0.596689537966018,0.000242583667245722,-0.00117233988895148,0.994399257115335,-0.369895798092935,0.0191389525962939,"2 Predators",-1.12080530018264,TRUE
"177","x15_arrowtooth_flounder_biomass_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",24,121.22230409966,128.290627081747,0.785980846440218,0.281498775293845,-0.613080028554731,0.000143674086900969,0.564312838641553,0.000793566173304283,0.124921758528773,0.616405612976438,-0.446771109589388,0.0611193304605202,"2 Predators",-1.04552641646845,FALSE
